datetime,camera,event,confidence_level
2025-12-31 14:11:44,front,smoke,55.1
2025-12-31 14:11:44,back,neutral,57.3
2025-12-31 14:11:44,right,neutral,54.6
2025-12-31 14:11:44,left,neutral,0.0
2025-12-31 14:11:49,front,smoke,56.9
2025-12-31 14:11:49,back,neutral,57.5
2025-12-31 14:11:49,right,fire,57.4
2025-12-31 14:11:49,left,neutral,0.0
2025-12-31 14:11:54,front,neutral,55.7
2025-12-31 14:11:54,back,neutral,57.6
2025-12-31 14:11:54,right,neutral,57.6
2025-12-31 14:11:54,left,neutral,0.0
2025-12-31 14:11:59,front,neutral,56.5
2025-12-31 14:11:59,back,neutral,57.6
2025-12-31 14:11:59,right,neutral,57.6
2025-12-31 14:11:59,left,neutral,0.0
2025-12-31 14:12:04,front,neutral,53.5
2025-12-31 14:12:04,back,neutral,57.6
2025-12-31 14:12:04,right,neutral,57.6
2025-12-31 14:12:04,left,neutral,0.0
2025-12-31 14:12:09,front,neutral,53.2
2025-12-31 14:12:09,back,neutral,57.6
2025-12-31 14:12:09,right,neutral,57.6
2025-12-31 14:12:09,left,neutral,0.0
2025-12-31 14:15:45,front,neutral,48.8
2025-12-31 14:15:45,back,neutral,57.6
2025-12-31 14:15:45,right,neutral,57.6
2025-12-31 14:15:45,left,neutral,0.0
2025-12-31 14:15:50,front,neutral,43.7
2025-12-31 14:15:50,back,neutral,57.6
2025-12-31 14:15:50,right,neutral,57.6
2025-12-31 14:15:50,left,neutral,0.0
2025-12-31 14:15:55,front,smoke,53.2
2025-12-31 14:15:55,back,neutral,57.6
2025-12-31 14:15:55,left,neutral,56.9
2025-12-31 14:15:55,right,neutral,57.6
2025-12-31 14:16:00,front,neutral,43.2
2025-12-31 14:16:00,back,neutral,57.6
2025-12-31 14:16:00,left,neutral,56.9
2025-12-31 14:16:00,right,neutral,57.6
2025-12-31 14:16:05,front,smoke,57.2
2025-12-31 14:16:05,back,neutral,57.6
2025-12-31 14:16:05,right,neutral,57.6
2025-12-31 14:16:05,left,neutral,0.0
2025-12-31 14:16:10,front,neutral,56.7
2025-12-31 14:16:10,back,neutral,57.6
2025-12-31 14:16:10,right,neutral,57.6
2025-12-31 14:16:10,left,neutral,0.0
2025-12-31 14:16:15,front,smoke,46.6
2025-12-31 14:16:15,back,neutral,57.6
2025-12-31 14:16:15,right,neutral,57.6
2025-12-31 14:16:15,left,neutral,0.0
2025-12-31 14:16:20,front,neutral,48.5
2025-12-31 14:16:20,back,neutral,57.6
2025-12-31 14:16:20,right,neutral,57.6
2025-12-31 14:16:20,left,neutral,0.0
2025-12-31 14:16:25,front,neutral,48.5
2025-12-31 14:16:25,back,fire,57.6
2025-12-31 14:16:25,right,fire,57.4
2025-12-31 14:16:25,left,neutral,0.0
2025-12-31 14:16:30,front,smoke,40.0
2025-12-31 14:16:30,back,fire,57.6
2025-12-31 14:16:30,left,neutral,56.9
2025-12-31 14:16:30,right,fire,57.6
2025-12-31 14:16:35,front,smoke,56.1
2025-12-31 14:16:35,back,fire,57.6
2025-12-31 14:16:35,left,neutral,56.9
2025-12-31 14:16:35,right,fire,57.6
2025-12-31 14:16:40,front,neutral,41.1
2025-12-31 14:16:40,back,fire,57.6
2025-12-31 14:16:40,right,neutral,57.6
2025-12-31 14:16:40,left,neutral,0.0
2025-12-31 14:16:45,front,smoke,41.4
2025-12-31 14:16:45,back,smoke,52.5
2025-12-31 14:16:45,right,neutral,57.6
2025-12-31 14:16:45,left,neutral,0.0
2025-12-31 14:16:50,front,neutral,44.7
2025-12-31 14:16:50,back,smoke,48.6
2025-12-31 14:16:50,left,neutral,56.9
2025-12-31 14:16:50,right,neutral,57.5
2025-12-31 14:16:55,front,neutral,43.3
2025-12-31 14:16:55,back,neutral,57.6
2025-12-31 14:16:55,left,neutral,56.9
2025-12-31 14:16:55,right,neutral,57.6
2025-12-31 14:17:00,front,neutral,52.4
2025-12-31 14:17:00,back,neutral,57.6
2025-12-31 14:17:00,right,neutral,57.6
2025-12-31 14:17:00,left,neutral,0.0
2025-12-31 14:28:06,front,neutral,47.4
2025-12-31 14:28:06,back,neutral,57.6
2025-12-31 14:28:06,right,neutral,57.6
2025-12-31 14:28:06,left,neutral,0.0
2025-12-31 14:28:11,front,smoke,57.1
2025-12-31 14:28:11,back,neutral,57.6
2025-12-31 14:28:11,right,neutral,57.6
2025-12-31 14:28:11,left,neutral,0.0
2025-12-31 14:28:16,front,smoke,55.6
2025-12-31 14:28:16,back,neutral,57.6
2025-12-31 14:28:16,right,neutral,57.6
2025-12-31 14:28:16,left,neutral,0.0
2025-12-31 14:28:21,front,smoke,54.9
2025-12-31 14:28:21,back,neutral,57.6
2025-12-31 14:28:21,right,neutral,57.6
2025-12-31 14:28:21,left,neutral,0.0
2025-12-31 14:28:26,front,smoke,42.3
2025-12-31 14:28:26,back,fire,57.6
2025-12-31 14:28:26,right,fire,57.6
2025-12-31 14:28:26,left,neutral,0.0
2025-12-31 14:28:31,front,smoke,55.8
2025-12-31 14:28:31,back,fire,57.6
2025-12-31 14:28:31,left,neutral,55.5
2025-12-31 14:28:31,right,fire,57.6
2025-12-31 14:28:36,front,smoke,52.2
2025-12-31 14:28:36,back,fire,57.6
2025-12-31 14:28:36,left,neutral,55.5
2025-12-31 14:28:36,right,fire,57.6
2025-12-31 14:28:41,front,smoke,55.9
2025-12-31 14:28:41,back,fire,57.6
2025-12-31 14:28:41,right,fire,57.6
2025-12-31 14:28:41,left,neutral,0.0
2025-12-31 14:28:46,front,smoke,57.5
2025-12-31 14:28:46,back,fire,57.6
2025-12-31 14:28:46,left,neutral,55.5
2025-12-31 14:28:46,right,fire,56.0
2025-12-31 14:28:51,front,smoke,57.4
2025-12-31 14:28:51,back,fire,57.6
2025-12-31 14:28:51,left,neutral,55.5
2025-12-31 14:28:51,right,fire,57.6
2025-12-31 14:28:56,front,smoke,57.4
2025-12-31 14:28:56,back,fire,57.6
2025-12-31 14:28:56,right,fire,57.6
2025-12-31 14:28:56,left,neutral,0.0
2025-12-31 14:29:01,front,smoke,55.6
2025-12-31 14:29:01,back,fire,57.6
2025-12-31 14:29:01,right,fire,57.6
2025-12-31 14:29:01,left,neutral,0.0
2025-12-31 14:29:06,front,smoke,49.7
2025-12-31 14:29:06,back,fire,57.6
2025-12-31 14:29:06,left,neutral,55.5
2025-12-31 14:29:06,right,fire,57.6
2025-12-31 14:29:11,front,smoke,57.2
2025-12-31 14:29:11,back,fire,57.6
2025-12-31 14:29:11,left,neutral,55.5
2025-12-31 14:29:11,right,fire,57.6
2025-12-31 14:29:16,front,smoke,56.9
2025-12-31 14:29:16,back,fire,57.6
2025-12-31 14:29:16,right,fire,48.1
2025-12-31 14:29:16,left,neutral,0.0
2025-12-31 14:29:21,front,smoke,57.4
2025-12-31 14:29:21,back,fire,57.6
2025-12-31 14:29:21,left,neutral,55.5
2025-12-31 14:29:21,right,fire,57.6
2025-12-31 14:29:26,front,smoke,48.3
2025-12-31 14:29:26,back,neutral,56.9
2025-12-31 14:29:26,left,neutral,55.5
2025-12-31 14:29:26,right,neutral,57.6
2025-12-31 14:29:31,front,neutral,41.0
2025-12-31 14:29:31,back,neutral,57.6
2025-12-31 14:29:31,right,neutral,55.9
2025-12-31 14:29:31,left,neutral,0.0
2025-12-31 14:29:36,front,smoke,55.9
2025-12-31 14:29:36,back,neutral,57.6
2025-12-31 14:29:36,right,neutral,57.6
2025-12-31 14:29:36,left,neutral,0.0
2025-12-31 14:29:41,front,smoke,55.9
2025-12-31 14:29:41,back,neutral,57.6
2025-12-31 14:29:41,right,neutral,57.6
2025-12-31 14:29:41,left,neutral,0.0
2025-12-31 14:34:53,front,smoke,57.1
2025-12-31 14:34:53,back,neutral,57.6
2025-12-31 14:34:53,left,neutral,0.0
2025-12-31 14:34:53,right,neutral,0.0
2025-12-31 14:34:58,front,smoke,56.7
2025-12-31 14:34:58,back,neutral,57.6
2025-12-31 14:34:58,left,neutral,57.3
2025-12-31 14:34:58,right,neutral,57.6
2025-12-31 14:35:03,front,smoke,49.3
2025-12-31 14:35:03,back,neutral,57.6
2025-12-31 14:35:03,left,neutral,57.0
2025-12-31 14:35:03,right,neutral,57.5
2025-12-31 14:35:08,front,smoke,54.8
2025-12-31 14:35:08,back,neutral,57.6
2025-12-31 14:35:08,left,neutral,57.2
2025-12-31 14:35:08,right,neutral,57.6
2025-12-31 14:35:13,front,smoke,51.1
2025-12-31 14:35:13,back,neutral,57.6
2025-12-31 14:35:13,left,neutral,57.0
2025-12-31 14:35:13,right,neutral,57.6
2025-12-31 14:35:18,front,smoke,56.3
2025-12-31 14:35:18,back,neutral,57.6
2025-12-31 14:35:18,left,neutral,57.5
2025-12-31 14:35:18,right,neutral,57.6
2025-12-31 14:35:23,front,smoke,55.6
2025-12-31 14:35:23,back,fire,57.6
2025-12-31 14:35:23,left,neutral,57.5
2025-12-31 14:35:23,right,fire,57.6
2025-12-31 14:35:28,front,smoke,55.6
2025-12-31 14:35:28,back,fire,57.6
2025-12-31 14:35:28,right,fire,57.6
2025-12-31 14:35:28,left,neutral,0.0
2025-12-31 14:35:33,front,smoke,57.0
2025-12-31 14:35:33,back,smoke,56.9
2025-12-31 14:35:33,right,fire,57.0
2025-12-31 14:35:33,left,neutral,0.0
2025-12-31 14:35:38,front,smoke,50.0
2025-12-31 14:35:38,back,neutral,57.6
2025-12-31 14:35:38,left,neutral,57.5
2025-12-31 14:35:38,right,neutral,57.6
2025-12-31 14:35:43,front,smoke,56.4
2025-12-31 14:35:43,back,neutral,57.6
2025-12-31 14:35:43,left,neutral,57.5
2025-12-31 14:35:43,right,neutral,57.6
2025-12-31 14:35:48,front,smoke,55.7
2025-12-31 14:35:48,back,neutral,57.6
2025-12-31 14:35:48,right,neutral,57.6
2025-12-31 14:35:48,left,neutral,0.0
2025-12-31 15:24:13,front,smoke,57.3
2025-12-31 15:24:13,back,neutral,57.5
2025-12-31 15:24:13,left,neutral,57.5
2025-12-31 15:24:13,right,neutral,57.6
2025-12-31 15:24:18,front,smoke,57.5
2025-12-31 15:24:18,back,neutral,57.6
2025-12-31 15:24:18,left,neutral,57.5
2025-12-31 15:24:18,right,neutral,57.6
2025-12-31 15:24:23,front,smoke,57.5
2025-12-31 15:24:23,back,neutral,57.1
2025-12-31 15:24:23,left,neutral,57.3
2025-12-31 15:24:23,right,neutral,57.5
2025-12-31 15:24:28,front,smoke,57.5
2025-12-31 15:24:28,back,neutral,57.1
2025-12-31 15:24:28,left,neutral,57.3
2025-12-31 15:24:28,right,neutral,57.5
2025-12-31 16:02:33,front,smoke,57.5
2025-12-31 16:02:33,back,smoke,50.3
2025-12-31 16:02:33,right,neutral,57.6
2025-12-31 16:02:33,left,neutral,0.0
2025-12-31 16:02:38,front,smoke,57.6
2025-12-31 16:02:38,back,smoke,48.5
2025-12-31 16:02:38,right,neutral,57.5
2025-12-31 16:02:38,left,neutral,0.0
2025-12-31 16:02:43,front,smoke,57.6
2025-12-31 16:02:43,back,smoke,48.5
2025-12-31 16:02:43,right,neutral,57.5
2025-12-31 16:02:43,left,neutral,0.0
2025-12-31 16:03:53,front,smoke,57.6
2025-12-31 16:03:53,back,smoke,56.9
2025-12-31 16:03:53,right,neutral,57.6
2025-12-31 16:03:53,left,neutral,0.0
2025-12-31 16:03:58,front,smoke,57.6
2025-12-31 16:03:58,back,smoke,53.0
2025-12-31 16:03:58,right,neutral,57.5
2025-12-31 16:03:58,left,neutral,0.0
2025-12-31 16:04:03,front,smoke,57.5
2025-12-31 16:04:03,back,smoke,47.6
2025-12-31 16:04:03,right,smoke,40.5
2025-12-31 16:04:03,left,neutral,0.0
2025-12-31 16:04:08,front,smoke,57.6
2025-12-31 16:04:08,back,smoke,50.4
2025-12-31 16:04:08,right,neutral,43.4
2025-12-31 16:04:08,left,neutral,0.0
2025-12-31 16:04:13,front,smoke,57.5
2025-12-31 16:04:13,back,neutral,55.2
2025-12-31 16:04:13,right,neutral,43.4
2025-12-31 16:04:13,left,neutral,0.0
2025-12-31 16:04:18,front,smoke,57.5
2025-12-31 16:04:18,back,neutral,55.2
2025-12-31 16:04:18,left,neutral,0.0
2025-12-31 16:04:18,right,neutral,0.0
2025-12-31 16:38:23,front,smoke,57.4
